,Tobe_corrected,Tense_corrected,Article_corrected,Preposition_corrected,ADJ_ADV_corrected,Relative_pronoun_corrected,Passive_voice_corrected
0,He is happy.,She goes to school every day.,I saw a cat.,I am good at math.,She sings beautiful songs.,The girl who's hair is long is my sister.,The computer screen is cracked and needs to be replaced.
1,She is at home.,He doesn't like ice cream.,He is a best student.,She is interested in art.,He runs quick.,The car which was repaired yesterday runs smoothly now.,The dress was designed by a famous designer and cost a lot of money.
2,They are playing outside.,They were happy yesterday.,She is an intelligent girl.,He is afraid of spiders.,They did good on the test.,The house whose roof was damaged in the storm needs to be repaired.,"The book was written by a famous author, a very popular one."
3,I am a teacher.,I go to work on the weekends.,I have an important meeting.,They arrived at the airport on Monday morning.,She spoke soft.,The man who's job is to clean the office is very efficient.,"The girl's hair is long, my sister she."
4,You are a student.,She didn't go to the party.,She is an engineer.,I have been looking for my keys since morning.,He plays the piano perfect.,The computer that is cracked needs to be replaced.,I don't like movies directed by him that much.
5,We are excited for the trip.,He was tired after work.,I saw an elephant.,She is good at dancing.,They acted rude.,The dress that was designed by the famous designer cost a lot of money.,The car engine repaired yesterday runs smoothly now.
6,It is raining today.,They are playing football now.,He is my best friend.,He is bad at cooking.,She writes neat stories.,The book in which it was written by the famous author is very popular.,The student praised her teacher's hard work and felt proud of her.
7,This book is interesting.,I don't understand the question.,She is an unique artist.,They have been married for ten years.,He drove careful.,The girl whose hair is long is my sister.,The house damaged by the storm needs repaired.
8,That car is expensive.,She didn't write the letter.,He has an old bike.,I will meet you at 5 PM in the evening.,They finished the work quick.,"The movie, which was directed by him, I don't like.","The man's clean office is efficient, he said."
9,These apples are red.,He went to the store.,She is an honest woman.,She is going to the store.,She performed amazing.,The car which had its engine repaired yesterday runs smoothly now.,The restaurant recommended by my friend serves food like that.
10,Those houses are old.,They will go to the beach tomorrow.,This is an ugly building.,He is responsible for the project.,She dances graceful.,The student who was praised by the teacher for her hard work felt proud.,The computer cracked and needs replaced.
11,My friend is coming over.,I did not see the movie.,He is an honor student.,They are waiting for the bus.,He solves problems smartly.,The house in which its roof was damaged in the storm needs to be repaired.,The dress designed by the famous designer cost money that.
12,The children are playing in the park.,She does her homework every night.,I need an hour to rest.,They are working at the report.,She sings bad.,The man whose job is to clean the office is very efficient.,The girl with long hair is my sister.
13,The cake was delicious.,He has eaten breakfast already.,He is a great chef.,I am happy for my results.,He drives slow.,The restaurant which it was recommended by my friend serves delicious food.,I dislike the movie directed by him.
14,The teachers are strict.,They don't know the answer.,She is an honest friend.,He is bored from this movie.,They did poor on the exam.,The computer on which its screen is cracked needs to be replaced.,The car repaired yesterday runs now.
15,The weather is hot today.,I was late for the meeting.,This is an ugly dog.,They are staying at the hotel.,He runs fastly.,The dress in which it was designed by the famous designer cost a lot of money.,The student teacher praised her work and said she was proud.
16,Her dress is beautiful.,She hasn't finished her project yet.,He is an intelligent student.,I am excited for the trip.,She writes legible letters.,The girl with the long hair is my sister.,"The house was damaged, but repaired."
17,The coffee is cold.,He goes to the gym every morning.,This is an excellent movie.,He is guilty for the crime.,He drove reckless.,The movie that was directed by him I don't like.,The man's office is clean and efficient.
18,The flowers are blooming.,They have traveled to Europe.,She is an honest worker.,She is afraid of the dark.,They finished the task efficiently.,The car where the engine was repaired yesterday runs smoothly now.,The computer was replaced.
19,Our dog is very friendly.,I wasn't aware of the event.,She is an unique person.,He is good in tennis.,He talks quiet.,The student who was praised by the teacher for her hard work felt proud.,The dress designer famous cost money.
20,His car is new.,She doesn't like coffee.,He has an honest reputation.,I am tired of waiting.,She dances elegant.,The house where the roof was damaged in the storm needs to be repaired.,The book is written by a famous author who is very popular.
21,The cat is sleeping.,He didn't go to school yesterday.,She is an unusual girl.,He is afraid of heights.,He solves puzzles easy.,The man whose job is to clean the office is very efficient.,The girl with the long hair is my sister.
22,Their garden is beautiful.,I do my best in every task.,I need an hour break.,They arrived at the airport.,They work hard.,The restaurant where it was recommended by my friend serves delicious food.,The student praised by teacher for hard work was proud.
23,This pen is yours.,She doesn't eat meat.,She is an honorable student.,She is good at cooking.,He plays the guitar perfect.,The computer where the screen is cracked needs to be replaced.,The house roof damaged in the storm needs repair.
24,His ideas are interesting.,He was going to finish his homework.,He is an intelligent man.,He is bad in sports.,She writes poetry.,The dress that was designed by the famous designer cost a lot of money.,The man's job is to make the office efficient.
25,Our house is cozy.,They haven't seen that movie yet.,She bought an unique dress.,They have been married for five years.,They finished the job.,The book which was written by the famous author is very popular.,The restaurant recommended serves delicious food.
26,Your advice is helpful.,I didn't know about the changes.,She is an honest artist.,She is going to the gym.,They arrived punctual.,The girl who's hair is long is my sister.,The computer's cracked screen should be replaced.
27,The soup is hot.,She is studying English now.,He is an important leader.,He is responsible for the team.,He solves equations brilliantly.,"The movie that was directed by him, I don't like.","The dress cost a lot, designed by a designer."
28,The chair is comfortable.,He does not agree with the decision.,She is an intelligent student.,They are waiting for the train.,They did poor on the test.,The car which was repaired yesterday runs smoothly now.,A book written by an author is very popular.
29,The team is winning.,They were gone to the park.,This is an excellent opportunity.,They are working at the project.,He drove away.,The house which's roof was damaged in the storm needs to be repaired.,"Girl hair long, she is my sister."
30,The book is easy to read.,I didn't understand the instructions.,He is an unique student.,He is bored from this class.,They finished the assignment accurately.,The man who's job is to clean the office is very efficient.,Movie I dislike directed by him.
31,Her shoes are stylish.,She has a lot of work to do.,He is an honorable leader.,They are staying at the resort.,They arrived prompt.,The restaurant which was recommended by my friend serves delicious food.,The car which was repaired yesterday runs smoothly.
32,The painting is beautiful.,He doesn't eat breakfast.,She is an important figure.,I am excited from the concert.,She dances awkward.,The computer that is cracked needs to be replaced.,Student who for hard work is praised proud.
33,His job is challenging.,They are working on a new project.,He is an honest individual.,He is guilty for the mistake.,He solves riddles cleverly.,The dress that was designed by the famous designer cost a lot of money.,House storm damaged roof needs repaired.
34,The restaurant is popular.,I don't like this book.,I bought a book yesterday.,She is afraid of swimming.,They work industriously.,The book which was written by the famous author is very popular.,Restaurant friend recommended good food.
35,Your car is parked outside.,She didn't go to the store.,He is an doctor.,He is good in basketball.,She sings horrible songs.,The girl who's hair is long is my sister.,The computer's cracked screen should be replaced.
36,The cake is delicious.,He was tired after the trip.,We saw an interesting movie last night.,I am tired of waiting.,He drives fastly.,The movie that was directed by him. I don't like.,Dress expensive designed by a designer.
37,His handwriting is neat.,They have completed the assignment.,I'm reading a novel by a famous author.,She is interested in history.,They did good on the exam.,The car which was repaired yesterday runs smoothly now.,A book was written very popularly by an author.
38,The park is crowded.,I do not want to go there.,My brother is an engineer.,He is afraid of flying.,He plays the violin well.,The house which's roof was damaged in the storm needs to be repaired. ,Girl with long hair is my sister.
39,Our school is new.,She hasn't seen her friends in a while.,She has a beautiful voice.,They arrived at the afternoon.,They acted abnormal.,The man who's job is to clean the office is very efficient. ,The movie was directed by him.
40,The movie is exciting.,He does his homework in the evening.,I had a headache yesterday.,She is good at baking.,He drove away.,The computer that is cracked needs to be replaced.,"Car yesterday was repaired, and the engine smoothly runs."
41,The store is open.,They weren't aware of the issue.,He works at a hospital.,He is bad in math.,She performed splendidly.,The dress that was designed by the famous designer cost a lot of money.,The student was praised for her hard work and for being proud.
42,The beach is beautiful.,I didn't go to the meeting.,We stayed in a nice hotel.,They have been married for two years.,She dances gracefully.,That is a book which was written by a famous author.,House in storm damaged roof was to repair.
43,Your idea is great.,She does her best in everything.,I bought a new car last month.,I will meet you at 7 PM in the evening.,He solves problems easy.,She is a girl who wears her hair long.,Restaurant where a friend was recommended serves good food.
44,The road is bumpy.,He was not happy with the results.,She is a student at university.,She is going to the park.,She sings bad.,"That movie I dislike, which was directed by him.",The computer had a cracked screen to replace.
